timestamp,requests_sent,bytes_sent,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,server_status,current_rate,adaptive_factor,HTTP GET Flood_success,HTTP GET Flood_fail,HTTP POST Flood_success,HTTP POST Flood_fail,Slowloris_success,Slowloris_fail,HTTP HEAD Flood_success,HTTP HEAD Flood_fail,Large File Request_success,Large File Request_fail,Rapid Session Creation_success,Rapid Session Creation_fail
1731596273.9783466,0,0,4.8,46.8,47504306,1065209879,UP,10,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1731596277.0582728,10,10240,4.3,46.6,47514292,1065222817,UP,10,1.0,2,0,3,0,2,0,2,0,0,0,1,0
1731596280.107437,20,20480,3.3,46.5,47527939,1065230318,UP,10,1.0,7,0,4,0,2,0,5,0,0,0,2,0
1731596283.1543376,29,29696,4.1,46.4,47535438,1065237648,UP,10,1.0,12,0,6,0,2,0,7,0,0,0,2,0
1731596286.2360947,30,30720,4.4,46.3,47546570,1065250405,UP,10,1.0,12,0,6,0,2,0,7,0,1,0,2,0
1731596289.2558365,40,40960,3.8,46.1,47554131,1065258347,UP,10,1.0,16,0,7,0,3,0,11,0,1,0,2,0
1731596292.3053498,48,49152,3.4,46.1,47561407,1065265548,UP,10,1.0,20,0,9,0,3,0,13,0,1,0,2,0
1731596295.4116018,50,51200,3.2,46.1,47569481,1065274267,UP,10,1.0,20,0,9,0,3,0,13,0,3,0,2,0
1731596298.4782112,60,61440,4.1,46.0,47584969,1065282208,UP,10,1.0,25,0,11,0,3,0,16,0,3,0,2,0
1731596301.5534275,70,71680,4.5,46.0,47592044,1065288909,UP,10,1.0,31,0,13,0,4,0,17,0,3,0,2,0
1731596304.630761,80,81920,3.0,46.1,47599214,1065295555,UP,10,1.0,35,0,15,0,6,0,18,0,4,0,2,0
1731596307.724416,90,92160,3.3,46.0,47630439,1065305685,UP,10,1.0,38,0,17,0,9,0,19,0,5,0,2,0
1731596310.7679198,100,102400,5.4,46.0,47637851,1065312665,UP,10,1.0,44,0,17,0,11,0,20,0,6,0,2,0
1731596313.8113103,110,112640,3.2,45.9,47647886,1065319923,UP,10,1.0,48,0,20,0,12,0,22,0,6,0,2,0
1731596316.8792844,120,122880,3.4,45.6,47665128,1065327743,UP,10,1.0,49,0,23,0,13,0,24,0,9,0,2,0
1731596319.9588547,130,133120,4.1,45.8,47675397,1065335800,UP,10,1.0,54,0,23,0,14,0,26,0,11,0,2,0
1731596323.037859,140,143360,4.4,45.7,47685874,1065343219,UP,10,1.0,57,0,24,0,15,0,29,0,12,0,3,0
1731596326.100024,150,153600,2.6,45.8,47696176,1065350303,UP,10,1.0,62,0,25,0,16,0,29,0,15,0,3,0
1731596329.1316311,160,163840,6.5,45.8,47713985,1065358521,UP,10,1.0,65,0,28,0,17,0,29,0,17,0,4,0
1731596332.203538,170,174080,5.4,46.0,47724594,1065365497,UP,10,1.0,69,0,30,0,17,0,32,0,17,0,5,0
1731596435.8699672,10,40960,4.3,45.7,47829573,1065453617,DOWN,10,1.0,0,5,0,0,0,3,0,2,0,0,0,0
1731596437.9104307,15,61440,7.1,45.7,47845291,1065465688,DOWN,10,0.5,0,9,0,0,0,4,0,2,0,0,0,0
1731596439.9701052,17,69632,1.3,45.6,47863942,1065483057,DOWN,10,0.25,0,9,0,1,0,5,0,2,0,0,0,0
1731596441.9917772,18,73728,2.2,45.6,47877272,1065495660,DOWN,10,0.125,0,9,0,2,0,5,0,2,0,0,0,0
1731596444.0205526,19,77824,7.2,45.7,47895193,1065508440,DOWN,10,0.1,0,10,0,2,0,5,0,2,0,0,0,0
1731596446.0667303,20,81920,6.4,45.7,47908722,1065521000,DOWN,10,0.1,0,10,0,3,0,5,0,2,0,0,0,0
1731596448.0861702,21,86016,14.0,45.6,47925023,1065532441,DOWN,10,0.1,0,10,0,3,0,6,0,2,0,0,0,0
1731596450.1362424,22,90112,6.5,45.8,47941305,1065544674,DOWN,10,0.1,0,10,0,4,0,6,0,2,0,0,0,0
1731596452.1593947,23,94208,5.8,45.7,47974167,1065563466,DOWN,10,0.1,0,10,0,4,0,7,0,2,0,0,0,0
1731596454.2031636,24,98304,9.0,45.7,47991098,1065575895,DOWN,10,0.1,0,10,0,5,0,7,0,2,0,0,0,0
1731596456.2362735,25,102400,2.7,45.7,48007879,1065587146,DOWN,10,0.1,0,10,0,5,0,7,0,3,0,0,0,0
1731596458.2676003,26,106496,6.8,45.7,48024733,1065597901,DOWN,10,0.1,0,10,0,6,0,7,0,3,0,0,0,0
1731596460.3011832,27,110592,4.3,45.6,48041814,1065608908,DOWN,10,0.1,0,10,0,7,0,7,0,3,0,0,0,0
1731596462.317313,28,114688,10.5,45.6,48059110,1065620107,DOWN,10,0.1,0,10,0,7,0,7,0,4,0,0,0,0
1731596464.3682375,29,118784,6.8,45.6,48086806,1065632798,DOWN,10,0.1,0,11,0,7,0,7,0,4,0,0,0,0
1731596466.4012394,30,122880,5.9,45.6,48101883,1065643902,DOWN,10,0.1,0,12,0,7,0,7,0,4,0,0,0,0
1731596468.4158602,31,126976,7.3,45.6,48121760,1065655022,DOWN,10,0.1,0,12,0,8,0,7,0,4,0,0,0,0
1731596470.457878,32,131072,5.7,45.6,48137250,1065666005,DOWN,10,0.1,0,12,0,8,0,8,0,4,0,0,0,0
1731596472.4927,33,135168,3.2,45.6,48155321,1065676953,DOWN,10,0.1,0,12,0,9,0,8,0,4,0,0,0,0
1731596474.53475,34,139264,8.4,45.6,48181238,1065688721,DOWN,10,0.1,0,12,0,9,0,9,0,4,0,0,0,0
1731596476.5998251,35,143360,3.1,45.6,48199573,1065699629,DOWN,10,0.1,0,13,0,9,0,9,0,4,0,0,0,0
1731596478.649825,36,147456,8.0,45.6,48218070,1065710629,DOWN,10,0.1,0,13,0,9,0,9,0,5,0,0,0,0
1731596480.6920784,37,151552,4.0,45.7,48239636,1065722489,DOWN,10,0.1,0,14,0,9,0,9,0,5,0,0,0,0
1731596482.7140837,38,155648,3.8,45.6,48258510,1065734416,DOWN,10,0.1,0,14,0,10,0,9,0,5,0,0,0,0
1731596484.748186,39,159744,13.5,45.7,48289487,1065799168,DOWN,10,0.1,0,14,0,10,0,9,0,5,0,1,0,0
1731596486.7814195,40,163840,2.4,45.6,48310906,1065810591,DOWN,10,0.1,0,14,0,10,0,9,0,6,0,1,0,0
1731596488.8209157,41,167936,7.0,45.6,48327707,1065821705,DOWN,10,0.1,0,15,0,10,0,9,0,6,0,1,0,0
1731596490.8300595,42,172032,4.3,45.6,48349382,1065833390,DOWN,10,0.1,0,16,0,10,0,9,0,6,0,1,0,0
1731596492.8634868,43,176128,3.6,45.7,48366563,1065843990,DOWN,10,0.1,0,16,0,10,0,10,0,6,0,1,0,0
